Word,Arousal,Valence,ValenceCategory,ValenceVsNeutral,Happiness,Anger,Fear,Sadness,Disgust,Surprise,Dominant_Emotion,N_Arousal,N_Valence,N_Primary_Emotion,N_Unknown_Arousal,N_Unknown_Valence,N_Unknown_Primary_Emotion,Concreteness,ConcretenessCategory,Imageability,ImageabilityCategory,SourceImageability,Frequency_Zipf,Prevalence,Length,Nsyl,N_phonemes,PoS,OLD20,AoA,DLP_RT,DLP_Acc,DCP_RT,DCP_Acc
beweging,4,3.157894737,positive,neutral,2.2,1,1,1.1,1,1.2,Happiness,16,19,10,0,0,0,3.6,high,5.33,high,van Loon,4.656110665,2.73099552,8,3,7,N,1.95,7,520.5567568,0.975609756,1033.87,0.99
schitterend,3.333333333,4.631578947,positive,valenced,3.5,1.2,1.1,1.2,1.2,1.5,Happiness,16,19,10,0,0,0,2.2,low,5.6,high,de Deyne et al. 2019,4.515168867,2.747675454,11,3,9,ADJ,1.95,7,506.6236842,1,989.62,1
oefenen,3.5,3.277777778,positive,neutral,1.272727273,1,1.090909091,1.090909091,1.254545455,1,Happiness,17,18,11,0,0,0,3,high,4.73,high,van Loon,4.397846191,2.460175397,7,3,5,WW,1.9,7,519.9762162,0.975,923.31,1
beloning,3.25,4.333333333,positive,valenced,3.636363636,1,1,1,1,2.454545455,Happiness,14,18,11,0,0,0,2.666666667,low,#N/A,#N/A,#N/A,4.330965423,2.669598598,8,3,7,N,2.05,7,510.1666667,1,942.5,1
beloven,2.875,3.666666667,positive,valenced,2.4,1,1.2,1.5,1.1,1.9,Happiness,15,18,10,0,0,0,2,low,4,high,van Loon,4.285052965,2.920540896,7,3,6,WW,1.6,7,483.8541026,0.975609756,994.74,1
terugkeren,3,3.25,positive,neutral,2.090909091,1.272727273,1.363636364,1.636363636,1.454545455,1.454545455,Happiness,14,20,11,0,0,0,3.466666667,high,#N/A,#N/A,#N/A,4.180739306,2.605069482,10,4,9,WW,1.85,7,541.4852778,1,1039.22,0.99
gebeten,3.642857143,2.35,negative,neutral,1.072727273,2.636363636,2.363636364,2.090909091,1.636363636,1.890909091,Anger,16,20,11,0,0,0,4.133333333,high,#N/A,#N/A,#N/A,4.133011687,2.191605716,7,3,6,ADJ,1.65,7,539.2065789,0.951219512,1033.77,0.99
opblazen,3.882352941,1.684210526,negative,neutral,1.3,2.1,2.6,1.7,1.8,2.2,Fear,15,19,10,0,0,0,3.933333333,high,5.37,high,van Loon,4.127124244,3.168150295,8,3,6,WW,1.85,7,481.7355263,1,1055.99,1
gewassen,2.588235294,3.421052632,positive,neutral,1.6,1,1,1,1,1.2,Happiness,17,19,10,0,0,0,3.2,high,#N/A,#N/A,#N/A,3.988634751,3.158592653,8,3,6,ADJ,1.95,7,515.8089474,0.975,1055.74,1
popcorn,2.5625,4,positive,valenced,3.054545455,1,1,1,1,1.181818182,Happiness,16,18,11,0,0,0,4.666666667,high,#N/A,#N/A,#N/A,3.91673286,2.329523354,7,2,7,N,2.95,7,524.5971053,0.951219512,1093.05,1
verschillend,2.875,2.944444444,negative,neutral,1.875,1.75,1.75,1.571428571,1.125,1.75,Happiness,16,18,8,0,0,0,2.333333333,low,5.4,high,de Deyne et al. 2019,3.891983231,3.177634966,12,3,10,ADJ,2.2,7,501.0869231,1,1011.89,1
hiernaartoe,2.8125,3,neutral,neutral,1.272727273,1,1.090909091,1.090909091,1,1.363636364,Surprise,16,18,11,0,0,0,1.733333333,low,#N/A,#N/A,#N/A,3.666723847,1.130814828,11,3,8,Function,4.35,7,555.4376316,0.926829268,1356.75,0.86
vastzitten,3.25,2.222222222,negative,neutral,1.222222222,2,3.111111111,2.666666667,1.555555556,1.888888889,Fear,16,18,9,0,0,0,3.466666667,high,#N/A,#N/A,#N/A,3.626401965,2.739495222,10,3,8,WW,2.25,7,498.7260526,0.951219512,1065.36,1
sirene,3.857142857,2.6,negative,neutral,1,1.145454545,2.327272727,1.527272727,1,2.109090909,Fear,17,20,11,0,0,0,4.333333333,high,5.63,high,van Loon,3.535319443,2.266774581,6,3,6,N,1.75,7,552.6827273,0.87804878,984.16,0.99
botsing,4,2,negative,neutral,1,2.155555556,3.377777778,2.155555556,1.333333333,2.222222222,Fear,15,19,9,0,0,1,3.866666667,high,6,high,van Loon,3.520588327,2.816244638,7,2,6,N,2,7,559.3905,1,1039.26,0.99
voeding,2.666666667,3.421052632,positive,neutral,3.72,1,1,1,1,1.24,Happiness,14,19,10,0,0,1,4,high,4.33,high,van Loon,3.416124372,2.388163711,7,2,5,N,1.8,7,496.3689189,0.975609756,959.85,0.99
